"נתונים היסטוריים - ת""א - 25",,,,,,
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי,,,,,
,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,"שווי שוק כולל(אלפי ש""ח) * "
20/01/2015,1458.75,1460.7,1459.74,1462.69,1455.96,578795715
19/01/2015,1466.94,1463.93,1458.75,1464.04,1455.55,574308851
18/01/2015,1463.33,1467.07,1466.94,1469.21,1464.39,577265541
15/01/2015,1465.44,1472.03,1463.33,1472.03,1457.78,574857753
14/01/2015,1474.83,1467.63,1465.44,1473.42,1462.5,573549435
13/01/2015,1463.03,1463.5,1474.83,1474.9,1461.21,582191728
12/01/2015,1465.79,1466.22,1463.03,1469.66,1459.07,577234556
11/01/2015,1469.58,1466.98,1465.79,1469.48,1463.41,576687288
08/01/2015,1462.16,1463.98,1469.58,1471.05,1463.98,582158391
07/01/2015,1458.66,1456.93,1462.16,1465.33,1453.56,575350832
06/01/2015,1457.47,1450.98,1458.66,1459.42,1449.94,568876500
05/01/2015,1459.97,1460.02,1457.47,1463.65,1455.66,571102816
04/01/2015,1461.97,1458.96,1459.97,1462.66,1458.32,572631118
01/01/2015,1464.99,1460.12,1461.97,1462.91,1457,573653392
31/12/2014,1452.42,1456.58,1464.99,1465.55,1453.53,574087733
30/12/2014,1456.83,1454.4,1452.42,1456.73,1449.33,570273984
29/12/2014,1462.67,1463.36,1456.83,1463.7,1451.5,574855159
28/12/2014,1464.59,1468.12,1462.67,1469.53,1460.07,577052028
25/12/2014,1460.03,1460.73,1464.59,1466.64,1460.73,576128163
24/12/2014,1467.76,1466.96,1460.03,1472.56,1455.67,576307036
23/12/2014,1481.14,1483.66,1467.76,1485.78,1466.13,577397194
22/12/2014,1487.53,1488.5,1481.14,1490.01,1478.2,582155488
21/12/2014,1481.88,1489.86,1487.53,1494.39,1486.51,588555589
18/12/2014,1468.2,1476.15,1481.88,1482.34,1473.49,579311645
17/12/2014,1463.51,1464.1,1468.2,1468.2,1459.44,568662169
16/12/2014,1478.39,1474.73,1463.51,1478.35,1453.36,569683414
15/12/2014,1476.83,1479.39,1478.39,1487.43,1474.95,570913467
14/12/2014,1487.81,1476.46,1476.83,1480.44,1471.41,568441501
11/12/2014,1481.05,1477.56,1487.81,1487.81,1474.3,575346303
10/12/2014,1479.06,1483.69,1481.05,1485.55,1478.56,573183886
09/12/2014,1492.01,1488.14,1479.06,1488.65,1475.3,572460758
08/12/2014,1493.85,1495.01,1492.01,1495.77,1487.92,579200854
07/12/2014,1485.23,1491.94,1493.85,1497.59,1490.95,581531569
04/12/2014,1478.84,1483.34,1485.23,1490.32,1480.6,579621296
03/12/2014,1474.73,1475.78,1478.84,1479.8,1474.05,577618794
02/12/2014,1475.03,1471.82,1474.73,1474.73,1467.7,573739538
01/12/2014,1474.6,1472.36,1475.03,1475.8,1470.78,569105263
30/11/2014,1477.59,1477.91,1474.6,1477.91,1472.01,568798057
27/11/2014,1470.36,1472.12,1477.59,1478.15,1468.32,568593128
26/11/2014,1446.89,1451.94,1470.36,1470.36,1450.12,565396736
25/11/2014,1444.44,1445.83,1446.89,1447.01,1439.22,557154199
24/11/2014,1445.87,1447.92,1444.44,1452.7,1442.31,558378654
23/11/2014,1453.26,1454.4,1445.87,1454.59,1444.52,560974976
20/11/2014,1451.74,1455.6,1453.26,1456.73,1448.05,562283407
19/11/2014,1450.43,1450.89,1451.74,1458.77,1449.39,562945008
18/11/2014,1447.35,1446.08,1450.43,1450.43,1443.03,562428480
17/11/2014,1446.23,1442.24,1447.35,1447.35,1439.18,560488288
16/11/2014,1445.78,1444.56,1446.23,1447.12,1442.8,556840363
13/11/2014,1444.95,1447.72,1445.78,1448.44,1441.15,562171245
12/11/2014,1444.68,1445.57,1444.95,1447.47,1439.19,560893042
11/11/2014,1451.58,1454.23,1444.68,1454.63,1442.43,561295279
10/11/2014,1450.35,1450.62,1451.58,1455.08,1448.31,561069287
09/11/2014,1451.11,1450.36,1450.35,1451.93,1447.08,559823230
06/11/2014,1450.95,1447.63,1451.11,1455.39,1447.07,560569949
05/11/2014,1441.36,1442.83,1450.95,1452.91,1441.28,561129059
04/11/2014,1440.75,1440.49,1441.36,1443.2,1437.83,556681126
03/11/2014,1437.64,1437.28,1440.75,1441.44,1434.94,556688842
02/11/2014,1424.37,1437.07,1437.64,1440.09,1433.81,552199324
30/10/2014,1434.03,1424.24,1424.37,1432.42,1411.99,546685804
29/10/2014,1443.52,1446.18,1434.03,1446.7,1431.98,543725451
28/10/2014,1442.34,1442.38,1443.52,1446.73,1441.46,546060926
27/10/2014,1445.64,1448.02,1442.34,1448.68,1437.75,544659662
26/10/2014,1445.83,1452.81,1445.64,1453.88,1445.2,544887249
23/10/2014,1443.53,1438.6,1445.83,1445.99,1437.65,545665575
22/10/2014,1443.19,1449.68,1443.53,1451.51,1442.46,542536155
21/10/2014,1435.19,1433.37,1443.19,1443.3,1432.66,536734871
20/10/2014,1433.48,1434.82,1435.19,1436.54,1428.3,534371817
19/10/2014,1433.24,1439.75,1433.48,1440.4,1425.22,529896562
14/10/2014,1444.01,1432.18,1433.24,1440.28,1431.29,527456406
13/10/2014,1433.8,1433.12,1444.01,1446.75,1432.9,537189726
12/10/2014,1462.97,1440.26,1433.8,1442.45,1433.8,533674895
07/10/2014,1462.32,1460.72,1462.97,1465.89,1458.99,545613375
06/10/2014,1466.64,1468.76,1462.32,1469.8,1462.32,545864689
05/10/2014,1451.33,1461.01,1466.64,1466.64,1461.01,549023109
02/10/2014,1451.27,1445.83,1451.33,1452.72,1443.86,542471953
01/10/2014,1458.99,1458.94,1451.27,1461.39,1449.09,538894144
30/09/2014,1457.8,1460.86,1458.99,1465.46,1457.61,543325186
29/09/2014,1459.49,1456.79,1457.8,1458.62,1452.17,543502517
28/09/2014,1456.28,1460.52,1459.49,1464.07,1458.63,541859965
23/09/2014,1452.19,1442.08,1456.28,1456.28,1441.95,535573600
22/09/2014,1456.15,1454.19,1452.19,1458.53,1448.75,536406036
21/09/2014,1446.96,1448.73,1456.15,1457.93,1446.46,536956429
18/09/2014,1439.03,1442.37,1446.96,1448.49,1440.24,534494087
17/09/2014,1431.64,1435.64,1439.03,1442.25,1435.06,530969544
16/09/2014,1423.37,1423.05,1431.64,1431.64,1420.54,528527721
15/09/2014,1422.39,1420.9,1423.37,1425.15,1418.61,524921232
14/09/2014,1424.08,1423.78,1422.39,1423.95,1418.69,525868466
11/09/2014,1422.85,1428.81,1424.08,1429.18,1420.11,526041944
10/09/2014,1423.84,1418.7,1422.85,1425.61,1418.7,523859168
09/09/2014,1426.42,1427.62,1423.84,1431.31,1422.84,526218140
08/09/2014,1429.65,1428.42,1426.42,1429.71,1424.51,526694590
07/09/2014,1424.32,1427.79,1429.65,1431.42,1425.64,528760313
04/09/2014,1420.95,1422.89,1424.32,1427.15,1419.69,527557031
03/09/2014,1417.62,1417.04,1420.95,1428.61,1416.87,526322468
02/09/2014,1410.21,1412.76,1417.62,1419.34,1412.76,526644289
01/09/2014,1400.33,1402.58,1410.21,1413.39,1402.39,523874522
31/08/2014,1404.41,1403.56,1400.33,1404.63,1398.74,520955458
28/08/2014,1408.54,1412.07,1404.41,1412.07,1396.92,521109069
27/08/2014,1388.93,1390.71,1408.54,1408.54,1390.35,523715808
26/08/2014,1383.73,1381.94,1388.93,1388.93,1380.62,517276437
25/08/2014,1372.12,1373.69,1383.73,1384.9,1373.31,518673673
24/08/2014,1379.01,1375.51,1372.12,1377.69,1370.67,513778102
21/08/2014,1374.34,1375.34,1379.01,1380.85,1374.9,518278315
20/08/2014,1378.88,1375.59,1374.34,1377.54,1371.46,514360994
19/08/2014,1379.87,1384.8,1378.88,1386.49,1377.59,515221319
18/08/2014,1387.45,1387.15,1379.87,1390.15,1373.05,513000799
17/08/2014,1389.35,1389.58,1387.45,1392.47,1386.76,512829556
14/08/2014,1386.02,1385.68,1389.35,1390.8,1384.19,511200180
13/08/2014,1384.96,1385.84,1386.02,1387.94,1384.98,509205364
12/08/2014,1387.96,1389.77,1384.96,1390,1384.22,510579744
11/08/2014,1383.26,1384.24,1387.96,1389.78,1384.17,509897513
10/08/2014,1386.16,1385.81,1383.26,1386.56,1380.43,508626176
07/08/2014,1388.88,1390.37,1386.16,1390.37,1382.86,513324337
06/08/2014,1395.91,1393.98,1388.88,1397.04,1387.07,512047517
04/08/2014,1392.98,1396.03,1395.91,1399.63,1393.61,518042514
03/08/2014,1392.45,1388.1,1392.98,1395.04,1387,519832101
31/07/2014,1398.79,1398.93,1392.45,1398.93,1390.32,518651454
30/07/2014,1398.2,1398.57,1398.79,1400.79,1397.2,523588583
29/07/2014,1395.89,1394.55,1398.2,1399.65,1393,522523632
28/07/2014,1395.45,1400.38,1395.89,1401.52,1395.48,520981267
27/07/2014,1398.24,1396.33,1395.45,1396.33,1391.48,521687666
24/07/2014,1396.47,1402.37,1398.24,1402.43,1396.08,523000786
23/07/2014,1398.02,1397.65,1396.47,1400.17,1394.25,522213790
22/07/2014,1392.81,1397.07,1398.02,1400.07,1391.1,522442921
21/07/2014,1387.61,1391.37,1392.81,1394.99,1386.94,519469187
20/07/2014,1401.26,1398.43,1387.61,1398.58,1381.39,519643770
17/07/2014,1400.26,1401.27,1401.26,1404.31,1397.6,520036154
16/07/2014,1396.59,1396.46,1400.26,1405.33,1395.25,522927482
15/07/2014,1395.52,1404.6,1396.59,1405.47,1395.47,522502151
14/07/2014,1389.98,1391.74,1395.52,1401.32,1390.16,519829093
13/07/2014,1371.61,1379.98,1389.98,1389.98,1379.33,518258279
10/07/2014,1376.3,1379.09,1371.61,1380.22,1365.49,510717479
09/07/2014,1366.02,1363.9,1376.3,1379.73,1363.43,512892379
08/07/2014,1379.37,1374.77,1366.02,1375.31,1366.02,509975574
07/07/2014,1391.9,1389.21,1379.37,1390.23,1376.14,516777380
06/07/2014,1391.87,1390.91,1391.9,1394.94,1389.44,520021924
03/07/2014,1382.6,1380.77,1391.87,1391.87,1380.77,518508472
02/07/2014,1384.22,1387.62,1382.6,1388.31,1381.75,516617034
01/07/2014,1388.27,1388.43,1384.22,1388.91,1381.12,513563723
30/06/2014,1386.12,1385.34,1388.27,1388.84,1383.27,513932883
29/06/2014,1384.36,1386.73,1386.12,1388.35,1384.23,513605621
26/06/2014,1388.64,1388.97,1384.36,1392.05,1382.75,511773391
25/06/2014,1403.89,1399.83,1388.64,1400.45,1386.39,512654596
24/06/2014,1404.7,1404.26,1403.89,1405.53,1401.86,516688962
23/06/2014,1406.15,1406.35,1404.7,1407.39,1401.53,519183855
22/06/2014,1404.6,1405.68,1406.15,1406.67,1403.6,519947283
19/06/2014,1398.54,1405.83,1404.6,1407.64,1403.97,520025828
18/06/2014,1398.15,1397.5,1398.54,1401.71,1395.63,515972297
17/06/2014,1397.14,1396.65,1398.15,1398.91,1392.93,514041642
16/06/2014,1392.57,1391.63,1397.14,1397.76,1386.56,514148016
15/06/2014,1397.39,1392.02,1392.57,1394.33,1389.82,513641954
12/06/2014,1400.62,1402.34,1397.39,1403.39,1395.68,515405472
11/06/2014,1406.32,1407.02,1400.62,1408.49,1398.49,516448358
10/06/2014,1411.55,1409.79,1406.32,1409.97,1403.56,516465242
09/06/2014,1414.38,1413.66,1411.55,1413.97,1410.05,517027558
08/06/2014,1400.42,1409.08,1414.38,1414.82,1408.59,518685046
05/06/2014,1397.73,1397.62,1400.42,1405.77,1397.62,511533281
02/06/2014,1397.35,1399.08,1397.73,1400.7,1396.13,512406694
01/06/2014,1393.42,1394.01,1397.35,1397.58,1393.63,512303189
29/05/2014,1397.28,1395.85,1393.42,1397.52,1392.84,509638040
28/05/2014,1404.57,1407.46,1397.28,1408.74,1396.72,513518942
27/05/2014,1405.37,1407.26,1404.57,1408.53,1403.71,516116329
26/05/2014,1401.83,1400.91,1405.37,1408.91,1400.48,516414020
25/05/2014,1389.31,1396.59,1401.83,1402.05,1395.61,516683443
22/05/2014,1387.91,1384.7,1389.31,1393.83,1384.7,510659446
21/05/2014,1386.75,1386.53,1387.91,1388.39,1385.14,507946367
20/05/2014,1386.29,1388.06,1386.75,1391.42,1385.52,505967764
19/05/2014,1383.97,1383.82,1386.29,1387.55,1379.5,505442714
18/05/2014,1378.27,1383.37,1383.97,1385.51,1381.34,506149219
15/05/2014,1383.52,1384.75,1378.27,1389.12,1378.27,504353675
14/05/2014,1385.12,1385.93,1383.52,1387.73,1382.09,507166467
13/05/2014,1375.13,1377.68,1385.12,1385.81,1375.57,507603328
12/05/2014,1371.79,1375.41,1375.13,1377.06,1372.42,502600394
11/05/2014,1372.18,1371.66,1371.79,1373.36,1370.23,500490438
08/05/2014,1367.9,1373.53,1372.18,1374.81,1368.12,504152857
07/05/2014,1374.48,1370.75,1367.9,1375.25,1367.44,498152711
04/05/2014,1379.88,1379.52,1374.48,1380.41,1371.95,504129939
01/05/2014,1378.93,1375.51,1379.88,1381.33,1375.51,507424250
30/04/2014,1383.92,1381.98,1378.93,1385.43,1375.5,506703919
29/04/2014,1386.26,1387.12,1383.92,1388.91,1383.19,506558285
28/04/2014,1383.41,1386.05,1386.26,1389.15,1382.45,508623228
27/04/2014,1389.92,1381.66,1383.41,1387.2,1380.23,505974583
24/04/2014,1392.49,1390.15,1389.92,1399.07,1387.62,512194130
23/04/2014,1405.23,1402.4,1392.49,1406.63,1392.3,515950390
22/04/2014,1389.02,1392.7,1405.23,1405.45,1388.98,521849446
17/04/2014,1400.15,1400.85,1389.02,1401.14,1386.17,509852278
16/04/2014,1395.54,1404.65,1400.15,1405.48,1398.39,513093058
13/04/2014,1412.52,1386.24,1395.54,1398.24,1385.11,511632755
10/04/2014,1414.17,1421.71,1412.52,1423.09,1411.1,522877822
09/04/2014,1406.77,1410.05,1414.17,1416.67,1409,522294803
08/04/2014,1422.39,1418.62,1406.77,1420.09,1405.56,516758135
07/04/2014,1421.25,1420.05,1422.39,1422.39,1413.02,529511407
06/04/2014,1417.77,1408.92,1421.25,1421.25,1406.85,527658154
03/04/2014,1414.9,1416.07,1417.77,1418.66,1413.74,528583685
02/04/2014,1412.77,1415.04,1414.9,1416.58,1411.78,530702744
01/04/2014,1402.22,1404.1,1412.77,1412.77,1403.54,526661280
31/03/2014,1400.14,1401.24,1402.22,1403.18,1394.86,521675103
30/03/2014,1397.77,1399.03,1400.14,1401.34,1396.44,515717084
27/03/2014,1401.04,1398.49,1397.77,1399.46,1394.49,514847374
26/03/2014,1396.1,1400.37,1401.04,1404.38,1397.01,518272904
25/03/2014,1384.12,1387.88,1396.1,1400.77,1387.13,515198440
24/03/2014,1392.23,1395.22,1384.12,1400.06,1381.61,510889024
23/03/2014,1383.16,1379.94,1392.23,1393.43,1378.5,515807925
20/03/2014,1385.73,1380.34,1383.16,1386.41,1379.67,516630087
19/03/2014,1379.49,1379.87,1385.73,1386.63,1378.93,517536368
18/03/2014,1376.54,1377.69,1379.49,1380.21,1373.96,514127760
17/03/2014,1373.28,1372.73,1376.54,1378.64,1370.52,511919879
13/03/2014,1369.4,1373.34,1373.28,1373.72,1369.68,508991693
12/03/2014,1371.22,1368.4,1369.4,1369.4,1362.7,508869418
11/03/2014,1366.89,1370.79,1371.22,1373.04,1367.64,511208165
10/03/2014,1363.38,1360.23,1366.89,1370.51,1359.38,511863599
09/03/2014,1369.22,1362.93,1363.38,1366.27,1361.47,510320308
06/03/2014,1365.49,1366.55,1369.22,1371.84,1362.74,515355001
05/03/2014,1365.24,1365.9,1365.49,1367.9,1363.4,512359721
04/03/2014,1347.64,1355.47,1365.24,1366.06,1355.05,509817630
03/03/2014,1350.89,1347.34,1347.64,1348.83,1340.63,505080665
02/03/2014,1350.65,1350.06,1350.89,1352.77,1346.48,506510889
27/02/2014,1349.05,1354.98,1350.65,1354.98,1343.1,504588540
26/02/2014,1336.12,1339.78,1349.05,1349.05,1339.09,506304113
25/02/2014,1334.56,1338.32,1336.12,1341.66,1331.7,501456220
24/02/2014,1321.68,1320,1334.56,1334.56,1320,499139238
23/02/2014,1323.69,1328.68,1321.68,1328.68,1321.23,494668071
20/02/2014,1322.77,1319.98,1323.69,1324.21,1316.84,496038389
19/02/2014,1321.08,1320.92,1322.77,1322.99,1318.46,491995049
18/02/2014,1319.74,1321.28,1321.08,1322.32,1317.12,488126323
17/02/2014,1315.42,1315.75,1319.74,1321.41,1314.77,485147997
16/02/2014,1309.09,1317.98,1315.42,1320.22,1315.38,482879244
13/02/2014,1309.75,1305.96,1309.09,1309.7,1301.16,481262708
12/02/2014,1309.86,1316.04,1309.75,1317.82,1308.1,481488178
11/02/2014,1305.32,1308.33,1309.86,1313.1,1305.83,480436490
10/02/2014,1310.37,1306.74,1305.32,1310.88,1301.34,481393891
09/02/2014,1307.98,1313.95,1310.37,1315.63,1309.94,484094153
06/02/2014,1303.25,1303.97,1307.98,1313.57,1303.23,486857391
05/02/2014,1301.08,1299.3,1303.25,1305.64,1298.21,483350562
04/02/2014,1295.48,1279.44,1301.08,1301.74,1278.86,482818065
03/02/2014,1300.25,1299.62,1295.48,1303.18,1294.27,480841780
02/02/2014,1299.54,1297.35,1300.25,1303.61,1294.58,482895953
30/01/2014,1307.89,1290.18,1299.54,1305.24,1289.52,480987371
29/01/2014,1314.47,1321.11,1307.89,1325.38,1306.11,483977325
28/01/2014,1309.67,1311.22,1314.47,1315.29,1306.62,484764468
27/01/2014,1302.37,1303.54,1309.67,1313.47,1300.13,479566890
26/01/2014,1322.02,1301.66,1302.37,1303.48,1298.26,477169955
23/01/2014,1331.49,1335.99,1322.02,1336.23,1321.19,485091396
22/01/2014,1332.87,1332,1331.49,1337.19,1329.85,490046788
21/01/2014,1328.21,1334.02,1332.87,1334.73,1327.01,491664397
20/01/2014,1342.09,1341.59,1328.21,1345.76,1325.51,488279354
19/01/2014,1348.95,1344.88,1342.09,1345.71,1340.73,491633288
16/01/2014,1352.27,1350.1,1348.95,1351.99,1346.26,492968442
15/01/2014,1337.92,1350.04,1352.27,1352.56,1347.57,493434533
14/01/2014,1343.62,1334.74,1337.92,1341.07,1331.55,481436113
13/01/2014,1330.92,1329.27,1343.62,1343.62,1328.72,485632228
12/01/2014,1324.17,1328.22,1330.92,1331.97,1327.9,481918378
09/01/2014,1327.07,1323.04,1324.17,1328.56,1319.8,479239562
08/01/2014,1328.99,1331.47,1327.07,1333.3,1323.86,478666548
07/01/2014,1319.64,1320.84,1328.99,1331.25,1317.71,477201118
06/01/2014,1323.43,1320.13,1319.64,1321.99,1314.87,473885335
05/01/2014,1322.52,1326.14,1323.43,1326.86,1318.37,474582810
02/01/2014,1339.62,1335.69,1322.52,1337.77,1321.92,475086790
01/01/2014,1329.39,1333.67,1339.62,1340.44,1326.18,477831402
31/12/2013,1319.4,1323.61,1329.39,1330.67,1320.65,474366114
30/12/2013,1315.65,1323.04,1319.4,1323.38,1314.41,471857480
29/12/2013,1333.42,1327.56,1315.65,1328.75,1313.58,470719438
26/12/2013,1341.85,1329.44,1333.42,1335.02,1328.3,475462223
25/12/2013,1341.67,1345.84,1341.85,1349.92,1340.68,476444515
24/12/2013,1348.99,1347.45,1341.67,1351.59,1338.68,474951486
23/12/2013,1339.28,1344.58,1348.99,1356.58,1343.27,477810052
22/12/2013,1323.04,1326.96,1339.28,1339.28,1323.32,476667591
19/12/2013,1325.08,1336.33,1323.04,1336.81,1320.03,473835448
18/12/2013,1320.08,1324.36,1325.08,1327.33,1321.91,453641705
17/12/2013,1328.69,1329.07,1320.08,1331.83,1318.09,451924195
16/12/2013,1315.07,1310.21,1328.69,1329.18,1310.21,454124581
15/12/2013,1326.92,1318.44,1315.07,1320.57,1313.2,450244941
12/12/2013,1342.93,1323.84,1326.92,1336,1318.9,453601772
11/12/2013,1351.64,1348.22,1342.93,1354.06,1341.03,463148972
10/12/2013,1363.51,1363.19,1351.64,1364.83,1340.14,465678932
09/12/2013,1371.18,1372.47,1363.51,1372.47,1363.51,464978537
08/12/2013,1368.3,1375.68,1371.18,1378.83,1368.64,468452624
05/12/2013,1363.86,1364.93,1368.3,1369.94,1361.01,468536278
04/12/2013,1364.73,1367.47,1363.86,1367.67,1355.6,468546802
03/12/2013,1372.33,1372.97,1364.73,1373.26,1362.43,469543710
02/12/2013,1377.79,1379.53,1372.33,1382.08,1370.73,471745914
01/12/2013,1358.23,1361.45,1377.79,1378.06,1361.29,473391751
28/11/2013,1351.96,1353.64,1358.23,1358.78,1352.43,466867802
27/11/2013,1346.72,1350.7,1351.96,1354.11,1346.83,466415203
26/11/2013,1350.13,1351.25,1346.72,1351.69,1344.62,464246172
25/11/2013,1352.96,1356.51,1350.13,1356.81,1349.57,466278468
24/11/2013,1344.85,1349.9,1352.96,1355.38,1349.88,466879006
21/11/2013,1344.34,1342.03,1344.85,1346.57,1336.94,464128103
20/11/2013,1335.31,1337.35,1344.34,1345.66,1336.63,463933247
19/11/2013,1334.14,1335.07,1335.31,1337.43,1331.39,456301114
18/11/2013,1327.19,1328.3,1334.14,1339.79,1328.3,455342797
17/11/2013,1315.86,1320.14,1327.19,1328.03,1319.75,453882799
14/11/2013,1307.31,1312.17,1315.86,1316.25,1312.17,450941600
13/11/2013,1309.07,1305.69,1307.31,1310.37,1304.12,447832029
12/11/2013,1311.55,1311.85,1309.07,1312.62,1305.69,448273587
11/11/2013,1313.41,1313.95,1311.55,1315.02,1310.38,447968637
10/11/2013,1310.46,1314.76,1313.41,1316.48,1312.16,448452667
07/11/2013,1304.96,1303.42,1310.46,1312.69,1302.76,447306860
06/11/2013,1297.97,1302.87,1304.96,1308.22,1301.3,443789423
05/11/2013,1301.37,1302.81,1297.97,1304.42,1296.53,442587043
04/11/2013,1293.42,1293.58,1301.37,1303.32,1292.07,442788664
03/11/2013,1288.19,1293.81,1293.42,1294.77,1291.73,440879065
31/10/2013,1283.08,1276.1,1288.19,1288.19,1275.18,440275577
30/10/2013,1289.75,1291.96,1283.08,1295.83,1281.96,440719826
29/10/2013,1285.32,1288.11,1289.75,1293.79,1286.77,448535143
28/10/2013,1293.32,1295.34,1285.32,1295.97,1284.77,447430104
27/10/2013,1286.36,1290.92,1293.32,1295.99,1290.32,450286128
24/10/2013,1289.33,1293.23,1286.36,1294.62,1282.78,445176553
23/10/2013,1308.27,1302.78,1289.33,1302.85,1288.94,446215917
22/10/2013,1304.15,1304.87,1308.27,1308.78,1302.1,451017640
21/10/2013,1305.67,1306.94,1304.15,1307.15,1301.45,450975033
20/10/2013,1296.65,1301.15,1305.67,1306.14,1297.03,449855981
17/10/2013,1307,1303.6,1296.65,1308.96,1295.02,448002801
16/10/2013,1302.95,1304.01,1307,1308.79,1301.98,450599684
15/10/2013,1295.8,1301.51,1302.95,1303.66,1292.2,450134528
14/10/2013,1285.16,1285.46,1295.8,1296.92,1281.88,450151748
13/10/2013,1292.75,1297.08,1285.16,1301.7,1285.16,447061835
10/10/2013,1286.12,1287.34,1292.75,1298.21,1286.04,448903385
09/10/2013,1282.07,1276.83,1286.12,1292.28,1275.5,445111637
08/10/2013,1280.59,1283.22,1282.07,1285.32,1277.55,443684070
07/10/2013,1275.3,1270.73,1280.59,1280.59,1265.78,442001670
06/10/2013,1257.64,1271.68,1275.3,1276.96,1269.35,440738618
03/10/2013,1271.97,1273.93,1257.64,1276,1257.64,434162158
02/10/2013,1274.78,1272.05,1271.97,1284.38,1268.99,420915074
01/10/2013,1264.98,1269.98,1274.78,1275.93,1269.56,421780768
30/09/2013,1270.93,1263.92,1264.98,1268.91,1258.11,419164575
29/09/2013,1256.36,1259.98,1270.93,1275.75,1259.06,422523075
24/09/2013,1261.54,1267.55,1256.36,1267.55,1253.73,418211898
23/09/2013,1252.98,1257.01,1261.54,1277.59,1256.41,418823939
22/09/2013,1240.08,1242.47,1252.98,1257,1238.11,415746548
17/09/2013,1230.37,1230.09,1240.08,1241.02,1222.65,414093897
16/09/2013,1225.8,1232.86,1230.37,1235.72,1226.83,412986030
15/09/2013,1202.81,1214.15,1225.8,1226.72,1214.15,412119784
12/09/2013,1200.43,1202.05,1202.81,1205.45,1198.39,405752327
11/09/2013,1198.44,1197.5,1200.43,1206,1196.04,406485885
10/09/2013,1179.84,1189.82,1198.44,1200.09,1188.23,406275441
09/09/2013,1165.42,1170.47,1179.84,1179.98,1168.46,402344758
08/09/2013,1179.73,1184.68,1165.42,1186.78,1165.42,398628832
03/09/2013,1190.1,1187.34,1179.73,1189.66,1172.76,402706071
02/09/2013,1185.11,1188.08,1190.1,1190.1,1184.47,404331277
01/09/2013,1178.41,1182.97,1185.11,1186.09,1181.05,403732694
29/08/2013,1164.69,1173.86,1178.41,1178.41,1166.43,403401858
28/08/2013,1156.19,1157.56,1164.69,1165.85,1145.2,401655455
27/08/2013,1184.39,1174.22,1156.19,1176.44,1156.19,401206781
26/08/2013,1198.56,1196.81,1184.39,1196.95,1183.84,406830940
25/08/2013,1201.28,1203.22,1198.56,1204.64,1171.19,408516739
22/08/2013,1203.22,1203.31,1201.28,1206.23,1199.5,409161310
21/08/2013,1207.81,1207.38,1203.22,1208.48,1202.44,410654067
20/08/2013,1208.84,1205.36,1207.81,1208.84,1203.76,413824263
19/08/2013,1207.24,1209.33,1208.84,1211.92,1206.18,416181175
18/08/2013,1204.89,1203,1207.24,1207.24,1201.38,415774156
15/08/2013,1212.58,1208.87,1204.89,1211.2,1203.72,415580071
14/08/2013,1211.72,1212.2,1212.58,1213.65,1209.94,418184301
13/08/2013,1206.86,1208.7,1211.72,1213.41,1208.29,417248119
12/08/2013,1202.75,1203.64,1206.86,1207.83,1202.18,415934711
11/08/2013,1202.85,1202.36,1202.75,1205.23,1199.5,416048606
08/08/2013,1200.47,1202.75,1202.85,1206.4,1199.93,411962931
07/08/2013,1200.87,1196.72,1200.47,1202.97,1193.27,410406800
06/08/2013,1203.65,1201.1,1200.87,1203.1,1198.69,409114487
05/08/2013,1208.94,1210.25,1203.65,1211.77,1200.3,410628992
04/08/2013,1207.84,1207.68,1208.94,1210.85,1206.11,413215039
01/08/2013,1203.47,1204.33,1207.84,1208.7,1202.59,413499527
31/07/2013,1203.46,1204.53,1203.47,1204.68,1197.55,414724308
30/07/2013,1223.55,1221.93,1203.46,1221.93,1197.07,414752067
29/07/2013,1227.94,1225.28,1223.55,1228.47,1221.91,427245483
28/07/2013,1229.24,1229.88,1227.94,1230.49,1226.78,429149351
25/07/2013,1234.2,1233.8,1229.24,1233.8,1224.34,430938849
24/07/2013,1230.29,1230.49,1234.2,1237.82,1228.64,433567777
23/07/2013,1229.49,1231.87,1230.29,1232.39,1228.94,431531745
22/07/2013,1226.45,1227.64,1229.49,1230.27,1226.18,428845957
21/07/2013,1226.89,1228.29,1226.45,1228.65,1222.57,427175663
18/07/2013,1223.72,1224.59,1226.89,1227.51,1220.77,427627208
17/07/2013,1220.44,1220.11,1223.72,1224.57,1215.86,425373559
15/07/2013,1221,1223.89,1220.44,1225.53,1219.1,425350849
14/07/2013,1214.52,1217.61,1221,1224.58,1217.59,425492215
11/07/2013,1206.06,1215.59,1214.52,1215.59,1211.82,423078606
10/07/2013,1206.87,1206.92,1206.06,1208.06,1203.8,422729490
09/07/2013,1207.71,1207.16,1206.87,1209.7,1203.77,423818661
08/07/2013,1202.15,1201.49,1207.71,1207.71,1200.97,424185814
07/07/2013,1195.09,1197.86,1202.15,1202.33,1196.68,421750244
04/07/2013,1189.44,1192.04,1195.09,1197.51,1191.2,419781336
03/07/2013,1199,1195.43,1189.44,1196.08,1183.97,417908415
02/07/2013,1195.14,1197.03,1199,1199.32,1194.45,421557381
01/07/2013,1190.5,1192.89,1195.14,1195.55,1188.62,419029053
30/06/2013,1189.67,1191.62,1190.5,1193.3,1188.49,418698608
