"נתונים היסטוריים - ת""א - 25",,,,,,
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי,,,,,
,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,"שווי שוק כולל(אלפי ש""ח) * "
21/03/2016,1485.03,1484.51,1485.32,1489.05,1482.87,644410261
20/03/2016,1483.21,1490.17,1485.03,1490.17,1485.03,644024599
17/03/2016,1488.76,1494.86,1483.21,1494.86,1480.26,645138772
16/03/2016,1483.36,1486.29,1488.76,1491.62,1483.06,659621493
15/03/2016,1487.74,1485.27,1483.36,1490.57,1482.21,658526379
14/03/2016,1487.65,1489.34,1487.74,1495.09,1484.06,669738292
13/03/2016,1478.61,1486.46,1487.65,1495.27,1485.96,671748565
10/03/2016,1466.47,1472.83,1478.61,1484.96,1469.79,667034303
09/03/2016,1460.48,1458.96,1466.47,1466.99,1457.44,653742600
08/03/2016,1457.48,1457.04,1460.48,1462.25,1451,649557061
07/03/2016,1458.86,1457.94,1457.48,1458.61,1453.07,646338270
06/03/2016,1449.75,1457.73,1458.86,1461.03,1457.59,646238707
03/03/2016,1447.89,1458.8,1449.75,1458.8,1447.82,643976538
02/03/2016,1442.54,1456.9,1447.89,1457.77,1442.97,642795162
01/03/2016,1437.93,1438.33,1442.54,1444.77,1437.59,639716438
29/02/2016,1441.03,1437.53,1437.93,1445.84,1433.77,643097591
28/02/2016,1427.09,1437.34,1441.03,1443.56,1436.81,648812636
25/02/2016,1420.76,1431.44,1427.09,1431.44,1421.28,643291353
24/02/2016,1430.23,1430.46,1420.76,1432.43,1417.45,638448695
23/02/2016,1436.32,1433.97,1430.23,1436.78,1429.43,647091595
22/02/2016,1422.2,1432.62,1436.32,1440.78,1430.89,646220291
21/02/2016,1418.22,1424.29,1422.2,1428.24,1418.98,640933758
18/02/2016,1429.96,1445.59,1418.22,1446.18,1416.85,646114507
17/02/2016,1405.61,1407.08,1429.96,1429.96,1403.7,649501591
16/02/2016,1407.27,1413.31,1405.61,1414.18,1401.57,635304973
15/02/2016,1397.61,1407.26,1407.27,1410.14,1406.13,634511630
14/02/2016,1383.34,1396.14,1397.61,1403.76,1392.89,627387557
11/02/2016,1422.49,1402.72,1383.34,1406.73,1383.34,620424168
10/02/2016,1417.9,1420.02,1422.49,1427.84,1411.39,656823912
09/02/2016,1420.83,1418.62,1417.9,1426.48,1403.21,652230891
08/02/2016,1437.89,1440.34,1420.83,1444.51,1420.72,655449948
07/02/2016,1454.56,1436.89,1437.89,1441.89,1431.7,666011090
04/02/2016,1448.1,1463.34,1454.56,1466.14,1441.52,677683378
03/02/2016,1457.4,1455.75,1448.1,1466.1,1446.92,670395168
02/02/2016,1470.56,1471.46,1457.4,1472.29,1455.72,686042943
